CSV for QUEUE_SIZE_2_TESTS
Number of Devices,Lambda,Mu,Average Response for high priority,Average Turnaround for high priority,Miss Percetage for high priority,Average Response for low priority,Average Turnaround for low priority,Miss Percetage for low priority
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
4,2.000000,0.300000,0.002083,0.673888,10.00000,0.002290,0.897989,16.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
4,2.000000,0.300000,0.002083,0.673888,10.00000,0.002290,0.897989,16.000000
4,2.000000,0.450000,0.002131,1.053805,20.00000,0.002281,2.177059,28.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
4,2.000000,0.300000,0.002083,0.673888,10.00000,0.002290,0.897989,16.000000
4,2.000000,0.450000,0.002131,1.053805,20.00000,0.002281,2.177059,28.000000
8,4.000000,0.150000,0.003912,0.207062,0.00000,0.004357,0.313969,0.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
4,2.000000,0.300000,0.002083,0.673888,10.00000,0.002290,0.897989,16.000000
4,2.000000,0.450000,0.002131,1.053805,20.00000,0.002281,2.177059,28.000000
8,4.000000,0.150000,0.003912,0.207062,0.00000,0.004357,0.313969,0.000000
8,6.000000,0.450000,0.005578,0.881166,2.00000,0.006445,1.893158,10.000000
2,2.000000,0.300000,0.002076,0.591791,10.00000,0.001920,0.652572,8.000000
2,2.000000,0.600000,0.002108,1.047442,32.00000,0.001971,1.172812,25.000000
2,2.000000,0.900000,0.002131,1.784231,36.00000,0.001989,2.025851,50.000000
4,2.000000,0.150000,0.002045,0.274546,3.00000,0.002314,0.333234,2.000000
4,2.000000,0.300000,0.002083,0.673888,10.00000,0.002290,0.897989,16.000000
4,2.000000,0.450000,0.002131,1.053805,20.00000,0.002281,2.177059,28.000000
8,4.000000,0.150000,0.003912,0.207062,0.00000,0.004357,0.313969,0.000000
8,6.000000,0.450000,0.005578,0.881166,2.00000,0.006445,1.893158,10.000000
8,6.000000,0.675000,0.005812,1.524575,7.00000,0.006480,5.320878,35.000000

CSV for QUEUE_SIZE_8_TESTS
